Name,Score,Deviation
Anjo,1903,68
Jv,1762,63
Yardsale,1754,70
Jraff,1698,68
Nugs,1684,64
Ksc,1644,63
Sylarius,1627,122
Bluezone,1603,131
Poppinfresh,1599,64
Tags,1583,75
Dew,1564,68
Pelican,1542,64
Kronos,1522,58
Crusayer,1514,79
Limeee,1498,93
Chochang,1475,84
Npo,1473,67
Mittens,1449,142
Minifadora,1393,94
Silver,1388,95
Kull,1384,78
Alphicans,1379,157
1lip,1360,73
Salamimommy,1356,152
Approved,1353,95
Victra,1344,114
Drummercon,1313,109
Smear,1303,105
Woody,1300,147
Fadoralord522,1289,95
Kasey,1272,99
Kelarisfromvancouver,1271,130
Borz,1247,147
Andhobbes,1241,176
Sad,1213,113
Salsa,1211,109
Justjohn,1210,101
Colt,1203,91
Yawn,1202,159
Lift,1199,137
Medic,1198,167
Figa,1153,98
Scruimple,1150,112
Ndiaz,1145,150
Arca,1145,246
Koreanking,1137,103
Loopy,1123,174
Jedcruz,1122,171
Jackied,1116,97
Unclegubsy,1107,120
Saybn,1094,198
Phantom,1080,94
Bbro,1070,188
Bigboy,1067,91
Asianjustinwong,1051,184
Hyper,1049,192
Chair,1045,223
Takaio,1037,180
Christinefromnetplay,1033,189
Trashman,1029,184
Tony,1027,118
Dr.love,1018,147
Brayden16,1009,189
Tak,1005,208
Gouda,997,184
Bitepunch,988,149
Scrubsauce,987,229
Gumby,981,202
Sendai,981,189
Boof,980,107
L.p.m.,980,144
Cinder,978,137
Jure,972,213
Conut,968,212
Kimil,961,130
Dynasty,961,166
Sdk,948,106
Rn,947,196
Colby,943,113
Noxris,937,211
Neki,928,233
Sunshine,913,212
Alpha,912,203
Crimsonbeast,908,200
Okada,903,210
Saber,900,120
Dotcalm,891,198
Nicknasty,887,201
Kcurb,870,219
Coolalex,868,216
Maigai,837,207
Turboscrub,831,236
Blueandyellowshirt,831,236
Midnight,816,190
Lillicoi,806,231
Wharplz,804,224
Dunkmaster,800,209
Gundamrobot,799,228
Knoff,797,235
Hettman,797,143
Chickfungus,792,235
Mahman,791,193
Chicken,788,217
Jarobi,783,229
Scrublord3000,778,224
Apto,769,221
Royalty,768,240
Ravnica,767,220
Zedd,764,191
Merkzer,763,135
Moon,762,180
Jetfuel,761,227
Fox3345,760,233
Zozzle,745,176
Lunamelee,740,256
Cutieboy666,739,232
Butteeeers,736,232
Nate,736,239
Shift,733,117
Chaizord,712,228
Taylorf,707,230
Shroomish,669,159
Leflur,659,243
Gmoney,652,226
Bent,650,245
Umr,643,204
P0wer,592,239
Dumpmaster,545,216
Tagless,433,259
