1,anjo,1903,68
2,jv,1762,63
3,yardsale,1754,70
4,jraff,1698,68
5,nuggles,1684,64
6,ksc,1644,63
7,sylarius,1627,122
8,bluezone,1603,131
9,poppinfresh,1599,64
10,tags,1583,75
11,dew,1564,68
12,pelican,1542,64
13,kronos,1522,58
14,crusayer,1514,79
15,limeee,1498,93
16,chochang,1475,84
17,npo,1473,67
18,mittens,1449,142
19,minifadora,1393,94
20,silver,1388,95
21,dopesamus,1387,172
22,kull,1384,78
23,alphicans,1379,157
24,1lip,1360,73
25,salamimommy,1356,152
26,approved,1353,95
27,victra,1344,114
28,drummercon,1313,109
29,smear,1303,105
30,woody,1300,147
31,fadoralord522,1289,95
32,kasey,1272,99
33,kelarisfromvancouver,1271,130
34,borz,1247,147
35,andhobbes,1241,176
36,sad,1213,113
37,salsa,1211,109
38,justjohn,1210,101
39,colt,1203,91
40,yawn,1202,159
41,lift,1199,137
42,medic,1198,167
43,figa,1153,98
44,scruimple,1150,112
45,ndiaz,1145,150
46,arca,1145,246
47,koreanking,1137,103
48,loopy,1123,174
49,jedcruz,1122,171
50,jackied,1116,97
51,unclegubsy,1107,120
52,saybn,1094,198
53,phantom,1080,94
54,bbro,1070,188
55,bigboy,1067,91
56,asianjustinwong,1051,184
57,hyper,1049,192
58,chair,1045,223
59,takaio,1037,180
60,christinefromnetplay,1033,189
61,trashman,1029,184
62,tony,1027,118
63,dr.love,1018,147
64,brayden16,1009,189
65,tak,1005,208
66,gouda,997,184
67,bitepunch,988,149
68,scrubsauce,987,229
69,gumby,981,202
70,sendai,981,189
71,boof,980,107
72,l.p.m.,980,144
73,cinder,978,137
74,jure,972,213
75,conut,968,212
76,kimil,961,130
77,dynasty,961,166
78,sdk,948,106
79,rn,947,196
80,colby,943,113
81,noxris,937,211
82,neki,928,233
83,sunshine,913,212
84,alpha,912,203
85,crimsonbeast,908,200
86,okada,903,210
87,saber,900,120
88,dotcalm,891,198
89,nicknasty,887,201
90,kcurb,870,219
91,coolalex,868,216
92,maigai,837,207
93,turboscrub,831,236
94,blueandyellowshirt,831,236
95,midnight,816,190
96,lillicoi,806,231
97,wharplz,804,224
98,dunkmaster,800,209
99,gundamrobot,799,228
100,knoff,797,235
101,hettman,797,143
102,chickfungus,792,235
103,mahman,791,193
104,chicken,788,217
105,jarobi,783,229
106,scrublord3000,778,224
107,apto,769,221
108,royalty,768,240
109,ravnica,767,220
110,zedd,764,191
111,merkzer,763,135
112,moon,762,180
113,jetfuel,761,227
114,fox3345,760,233
115,zozzle,745,176
116,lunamelee,740,256
117,cutieboy666,739,232
118,butteeeers,736,232
119,nate,736,239
120,shift,733,117
121,chaizord,712,228
122,taylorf,707,230
123,shroomish,669,159
124,leflur,659,243
125,gmoney,652,226
126,bent,650,245
127,umr,643,204
128,p0wer,592,239
129,dumpmaster,545,216
130,tagless,433,259
