Name,Score,Deviation
Anjo,1764,107
Smear,1732,86
Neri,1716,66
Fedoralord552,1705,82
Minifedora,1694,60
Ndiaz,1655,81
Sylarius,1635,247
Bladewise,1633,235
Yardsale,1619,113
Bluezone,1612,196
Jams,1608,260
Dylanlan,1568,136
Alphicans,1487,185
Arca,1395,103
Limee,1362,194
Lift,1359,67
Sdk,1349,101
Figa,1343,90
Sad,1340,112
Adamantium,1337,107
Compushwa,1337,109
Kronos,1323,76
Pelican,1279,162
Bbro,1264,203
Commandaguy,1264,158
Dew,1243,161
Crogunk,1240,277
Star,1232,279
Giganticfedora,1231,185
Salamimommy,1229,209
Gouda,1224,182
Tags,1194,215
Tulip,1165,141
Jackied,1156,124
Lights,1137,264
Yawn,1125,200
Nugs,1105,231
Vaynemain,1093,129
Dr.love,1085,184
Victra,1079,210
Mickey,1071,166
Alpha,1055,225
Kimil,1054,127
Chair,1052,208
Cinder,1047,144
Dunkmaster,1011,189
Hyper,1000,221
Bigboy,994,124
Dragonbooty,992,222
Jedcruz,979,223
Medic,979,237
Squirmple,978,148
Okada,960,231
Adrian,957,181
Alizon,952,284
Peaches,949,266
Gumby,924,295
Kuraudo,919,323
Chaz,912,259
Shift,897,135
Zedd,877,207
Hettman,874,109
Npo,868,165
Neki,864,294
Itssonic,863,293
Zozzle,861,236
Reich,856,213
Crimsonbeast,851,229
Asianjustinwong,830,311
Salsa,824,206
Lpm,822,188
Aedrenaline,820,326
Finestsilver,818,186
Beanfox,786,241
Approvedboat,775,302
Kull,773,284
Knoff,753,364
Ksc,747,339
Dumpmaster,739,274
Gundamrobot,724,209
Kcurb,722,199
Nullex,709,150
Amac,707,295
Slurmzmackenzie,687,300
Superloli,685,151
Kasey,684,302
Silver,665,252
Blueandyellowshirt,655,318
Noxris,647,314
Umr,644,245
Rollboy,617,291
Rin$god,616,306
Omergosh,600,325
Hwarplz,573,236
K-dj,569,346
Science,562,291
Djkoolkids,545,373
Sauce,528,275
Unclegubsy,522,350
Midnight,498,347
Bitepunch,475,390
Taxisdue,473,363
Saber,454,350
Supershota,440,330
Moon,439,530
Dork,420,300
Chicken,281,285
Boof,125,341
G$,114,292
