Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2029,113
Sylarius,1888,146
Krizski,1858,71
Odds,1755,83
Swan,1707,61
Garbage,1700,80
Qwuv,1618,59
Leaf,1616,87
Mftea,1595,129
Dimentio,1595,80
 - - - - - - Gold - - - - - - 
Poppinfresh,1577,103
Minijoel,1570,59
Mach5,1522,176
Wamsa,1517,61
Liban$,1463,90
Brunch,1460,84
Birmi,1459,58
Milessss,1456,103
Vision,1427,72
Riceboy,1407,213
Rat!,1323,86
Zipper,1316,161
Rash,1297,139
Isis,1288,111
Tsteak,1273,93
 - - - - - - Silver 1 - - - - - - 
Princessknight,1214,195
Duckrobin,1212,64
Bapple,1200,95
Dertymike,1182,288
Falco,1163,253
Thunderbob,1151,165
Gocutiego,1144,185
Stewie2k,1143,176
Linda,1129,167
Finsnreads,1119,144
 - - - - - - Silver 2 - - - - - - 
Rtsvicta,1104,190
Unity,1093,108
Magpie,1093,204
Venison,1075,175
Dokmomo,1074,125
Slinky,1010,141
Bigbird,1006,246
Nexusflip,1005,277
Thegroose,987,211
Sykke,982,202
Blackgun,981,246
Greenapple,980,132
Soupostrich,968,171
Ashley,957,173
Seen,957,125
 - - - - - - Bronze 1 - - - - - - 
Kova,957,239
Superanimevapegod,956,270
Ghillieguide,950,315
Chewwie,929,289
Emgat,907,292
Darkaozorax,903,239
Meleekunis,900,254
Babe,886,275
Jip,883,187
Twdock,855,158
 - - - - - - Bronze 2 - - - - - - 
Me$|platplat,845,231
Busso,832,167
Aids,831,127
Me$|smflow,827,179
Rain,822,151
Runawayfire,814,262
Derpinator,810,127
Kia,799,348
Cal,796,168
Mr.satan,785,195
Swell,780,219
Jts,779,176
Escalatorboy,779,328
Skittles,777,173
?,764,169
 - - - - - - Starter - - - - - - 
Xavier,758,180
Dishwash,756,316
Midnighthillbomber,750,180
Jackwallace,749,352
Nitrous,743,349
Rocky,736,157
Auntjemina,733,313
Darkmatter,731,209
Divus,728,225
Tmah,714,245
Spicymeme,695,278
Yale,667,145
Roen,662,269
Yzus,650,301
Tino,650,396
Jira,639,355
Backsalt,629,385
Daemomlock,622,272
Dante,621,188
Deisman,618,174
Jam,616,386
Tv,608,266
Earl,606,211
Boggles,604,397
Boxedsalt,604,397
Nito,585,350
Stormz,579,348
Kegwrecker,574,378
Fish,570,384
Bighp,563,296
Jlips,559,339
Ozio,554,225
Dkang,553,368
Kalco,549,268
Scotty2hotty,521,347
Tubbs,508,356
Nexttopmodel,501,367
Phi,469,381
Rezid,463,375
Jojo,454,377
Zay,444,375
Dordo3,440,384
Spencomatic,430,377
Nickzack,401,340
Ratemyname,89,340
