Name,Score,Deviation
Anjo,1889,70
Yardsale,1776,73
Jv,1771,65
Nugs,1700,73
Jraff,1683,73
Ksc,1673,65
Sylarius,1634,136
Poppinfresh,1610,67
Dew,1584,78
Pelican,1566,66
Tags,1538,112
Crusayer,1515,108
Kronos,1503,63
Dopesamus,1499,119
Chochang,1485,92
Npo,1469,71
Alphicans,1400,186
Mittens,1387,183
Minifedora,1368,112
Bluezone,1365,240
Kull,1363,88
Silver,1360,121
Victra,1341,128
Drummercon,1332,116
Approvedboat,1323,112
Tulip,1321,94
Smear,1317,117
Fedoralord552,1289,121
Woody,1270,139
Kasey,1226,135
Sad,1225,116
Salamimommy,1218,192
Yawn,1172,171
Mr.bulldops,1161,161
Lift,1159,171
Figa,1158,101
Salsa,1157,125
Kelaris,1144,202
Medic,1141,191
Colt,1124,116
Koreanking,1110,127
Jackied,1102,116
Justjohn,1097,135
Phantom,1078,101
Jedcruz,1077,197
Unclegubsy,1077,126
Borz,1067,247
Bigboy,1062,94
Saybn,1048,233
Ndiaz,1038,182
Andhobbes,1021,282
Tony,1010,132
Squirmple,1006,151
Colby,1000,124
Dr.love,1000,167
Takaio,989,198
Gouda,986,198
Hyper,976,243
Boof,959,110
Christinefromnetplay,955,226
Chair,953,264
Kimil,952,144
Asianjustinwong,949,243
Sdk,935,113
Lpm,926,152
Jure,920,245
Bbro,915,279
Sendai,912,230
Conut,910,231
Trashman,909,247
Tak,872,244
Cinder,859,152
Saber,853,143
Gumby,848,292
Rn,846,224
Noxris,843,237
Brayden16,830,274
Crimsonbeast,822,221
Bitepunch,813,229
Dotcalm,800,231
Coolalex,799,242
Nicknasty,788,242
Sunshine,776,308
Okada,770,247
Maigai,764,231
Merkzer,761,137
Hettman,750,163
Kcurb,747,325
Alpha,746,305
Dynasty,745,252
Dunkmaster,740,230
Wharplz,717,256
Turboscrub,712,294
Midnight,712,237
Shift,697,130
Mahman,696,224
Zozzle,685,185
Blueandyellowshirt,674,307
Apto,670,241
Moon,657,239
Butteeeers,652,276
Scrubsauce,651,345
Jarobi,636,249
Lillicoi,627,303
Zedd,625,251
Knoff,608,401
Scrublord3000,608,308
Chicken,605,246
Royalty,596,289
Chickfungus,591,294
Taylorf,579,258
Tinyshroomish,579,182
Lunamelee,578,360
Gundamrobot,567,261
Fox3345,566,257
Ravnica,564,276
Jetfuel,554,315
Skittles,553,350
Umr,548,232
Dumpmaster,530,231
Chaizord,525,317
Neki,518,366
Nate,517,345
Gmoney,514,252
Leflur,513,284
P0wer,503,313
Bent,323,310
Tagless,315,294
