Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Neri,1789,60
Anjo,1754,112
Fedoralord552,1720,70
Minifedora,1708,59
Smear,1695,83
Ndiaz,1687,74
Sylarius,1585,272
Yardsale,1568,139
Bluezone,1562,221
Jams,1558,285
 - - - - - - Gold - - - - - - 
Dylanlan,1517,161
Arca,1469,95
Alphicans,1437,210
Jraff,1425,126
Sad,1425,97
Lift,1362,64
Kuraudo,1343,181
Victra,1339,143
Limeee,1336,168
Sdk,1327,95
Compushwa,1327,114
Kronos,1327,71
Figa,1325,82
Adamantium,1296,127
Mandible,1293,194
 - - - - - - Silver 1 - - - - - - 
Griley,1282,154
Pelican,1256,173
Timto,1237,160
Tulip,1232,125
Dew,1221,172
Gouda,1216,186
Bbro,1214,228
Commandaguy,1214,183
Crogunk,1190,301
Star,1183,303
 - - - - - - Silver 2 - - - - - - 
Giganticfedora,1181,210
Salamimommy,1179,234
Drummercon,1123,185
Yawn,1117,204
Jackied,1115,144
Chair,1111,151
Bent,1108,200
Lights,1087,289
Vaynemain,1078,137
Bigboy,1074,113
Dumpmaster,1073,176
Cris,1068,257
Nugs,1065,251
Mickey,1048,177
Kimil,1045,132
 - - - - - - Bronze 1 - - - - - - 
Dr.love,1027,165
Cinder,1017,132
Alpha,1005,250
Alizon,1004,192
Dunkmaster,997,196
Grylie,990,222
Saybn,985,168
Hyper,970,236
Jedcruz,958,234
Medic,957,248
 - - - - - - Bronze 2 - - - - - - 
Dragonbooty,942,247
Squirmple,940,138
Okada,911,255
Adrian,907,206
Peaches,900,291
Chaz,891,270
Gumby,875,319
Shift,866,127
Npo,859,169
Hettman,854,106
E-beats,844,220
Zensa,838,228
Deribblest,834,213
Crimsonbeast,830,240
Silver,829,194
 - - - - - - Starter - - - - - - 
Zedd,827,232
Zozzle,821,256
Neki,814,318
Itssonic,814,317
Boner,807,225
Reich,806,238
Lpm,800,199
Xerox,786,221
Omergosh,784,191
Asianjustinwong,781,336
Salsa,775,231
Aedrenaline,771,350
Finestsilver,768,211
Beanfox,747,260
Approvedboat,726,326
Kull,723,309
Gundamrobot,716,213
Knoff,704,388
Ksc,698,364
Kcurb,692,214
Nullex,691,144
Slurmzmackenzie,679,304
Superloli,676,155
Amac,658,320
Kasey,634,327
Blueandyellowshirt,606,343
Umr,604,265
Noxris,598,339
Rollboy,568,316
Rin$god,567,330
Hwarplz,551,246
Science,523,311
K-dj,520,370
Djkoolkids,496,398
Saber,487,288
Sauce,479,300
Unclegubsy,473,374
Midnight,449,371
Dork,428,266
Bitepunch,426,414
Taxisdue,424,387
Supershota,391,355
Moon,390,554
Chicken,259,296
G$,114,286
Boof,103,352
