Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Neri,1820,58
Anjo,1746,116
Minifedora,1719,57
Fedoralord552,1717,67
Smear,1687,87
Ndiaz,1679,79
Sylarius,1561,284
Yardsale,1542,151
Bluezone,1537,234
Jams,1534,297
 - - - - - - Gold - - - - - - 
Alphicans,1529,189
Jraff,1499,104
Dylanlan,1492,174
Arca,1467,96
Sad,1417,101
Mandible,1409,153
Figa,1389,72
Lift,1376,63
Kronos,1344,68
Kuraudo,1342,182
Victra,1330,122
Limeee,1328,171
Compushwa,1320,118
Sdk,1317,88
Griley,1304,128
 - - - - - - Silver 1 - - - - - - 
Adamantium,1270,140
Pelican,1241,181
Timto,1236,161
Tulip,1211,111
Gouda,1209,190
Dew,1206,180
Bbro,1189,240
Commandaguy,1189,196
Colt,1182,164
Crogunk,1166,314
 - - - - - - Silver 2 - - - - - - 
Star,1158,316
Giganticfedora,1156,223
Salamimommy,1154,247
Dr.love,1151,134
Drummercon,1116,189
Yawn,1110,207
Chair,1109,152
Bent,1107,200
Bigboy,1072,113
Dumpmaster,1072,177
Jackied,1065,129
Vaynemain,1063,144
Lights,1063,301
Cris,1061,261
Chowderr,1046,211
 - - - - - - Bronze 1 - - - - - - 
Saybn,1043,147
Nugs,1040,263
Kimil,1037,136
Cinder,1027,120
Alizon,1003,192
Grylie,983,225
Dunkmaster,982,203
Alpha,980,262
Zedd,974,183
Hyper,945,248
 - - - - - - Bronze 2 - - - - - - 
Jedcruz,943,241
Medic,942,255
Squirmple,939,139
Mickey,920,155
Dragonbooty,918,259
Okada,886,268
Adrian,882,219
Chaz,876,277
Peaches,875,303
Superloli,865,138
Shift,865,128
Murf,858,209
Hettman,852,107
Npo,852,173
Gumby,850,331
 - - - - - - Starter - - - - - - 
Sk,850,276
E-beats,837,223
Dribblesd,833,213
Zensa,832,231
Silver,828,194
Mornville,816,214
Crimsonbeast,815,247
Boner,797,191
Zozzle,796,269
Neki,790,331
Itssonic,789,330
Xerox,785,221
Lpm,785,207
Omergosh,783,192
Reich,782,250
Asianjustinwong,757,348
Salsa,750,243
Aedrenaline,746,363
Finestsilver,743,223
Lazy,726,220
Beanfox,722,273
Gundamrobot,709,217
Approvedboat,701,338
Kull,699,321
Nullex,690,144
Knoff,680,401
Ksc,673,376
Slurmzmackenzie,673,307
Kcurb,667,226
Amac,633,332
Kasey,610,339
Blueandyellowshirt,582,355
Umr,579,277
Noxris,573,351
Rollboy,544,328
Rin$god,542,343
Hwarplz,536,254
Science,498,323
K-dj,496,383
Saber,481,292
Djkoolkids,472,410
Sauce,454,312
Unclegubsy,448,387
Dork,427,267
Midnight,425,384
Bitepunch,402,427
Taxisdue,400,399
Supershota,366,367
Moon,366,566
Chicken,245,303
G$,107,289
Boof,89,359
