Name,Score,Deviation
2manycooks,1888,199
Shoghi,1882,187
Exodia,1832,73
Alphicans,1725,80
Silver,1667,62
Neki,1606,81
Sylarius,1563,103
Beanfox,1527,66
Muzzard,1474,71
Superloli,1459,82
Kiddman,1458,80
Fuggthepugg,1439,253
Reich,1429,168
Emily,1394,128
Nessisless,1371,92
Namejeff,1342,169
Obito,1341,107
Conut,1338,105
Mickey,1334,78
Kofeezy,1324,144
Artfulshwabbes,1309,175
Chaizord,1307,148
Accents,1305,149
Snow,1277,188
Hwarplz,1273,162
Compushwa,1262,146
Marf,1238,192
Vypex,1235,172
Peekachoo,1223,114
Travishvii,1213,189
Nullex,1197,86
Grylie,1188,195
Jetfuel,1187,89
Qt|skilledroy,1186,233
Spamcob,1151,192
Alerf,1139,170
Cofee,1112,257
Dio,1090,118
Saltin,1085,252
Eevee,1064,167
Pip,1031,114
Trashman,1016,237
Minifedora,1007,137
Omergosh,1005,170
Yoshara,995,120
Yanase,983,251
Zozzle,972,168
Lan,961,223
Jinkx,958,283
Vaynemain,944,295
Overcast!,940,235
Kuraudo,929,284
Bigkof,923,251
Rileynoble,920,278
4f,906,227
Armour,900,173
Lpm,898,158
Lift,891,142
Deck,858,235
Tipihn,855,158
Sendai,854,183
Moon,851,243
To,836,222
Saber,770,170
Science,756,176
Tomgen,748,303
Umr,735,195
Socks,732,260
Devastater,731,337
Huk,729,268
Matt,726,288
Zyrus,714,263
Outlaw,711,255
Victra,708,240
Kieutea,698,326
Tokaio,652,240
Fedoralord552,643,214
Rapper,624,257
Hettman,599,225
Apostraphy,560,358
Cinder,539,284
Androcks,536,358
Boom,505,373
Goobaby,505,373
Lilikoi,494,223
Mahman,400,347
