Name,Score,Deviation
Quaff,1901,116
Krizski,1716,75
Odds,1619,83
Garbage,1563,87
Swan,1525,80
Qwuv,1520,70
Minijoel,1467,71
Leaf,1465,94
Liban$,1410,91
Wamsa,1403,75
Mftea,1393,187
Mach5,1376,172
Riceboy,1375,190
Birmi,1371,65
Poppinfresh,1367,162
Milessss,1346,125
Vision,1319,81
Brunch,1295,111
Dimentio,1278,142
Zipper,1277,139
Isis,1259,94
Rash,1247,114
Rat!,1243,103
Tsteak,1209,88
Princessknight,1200,165
Dertymike,1156,252
Falco,1124,226
Duckrobin,1111,76
Bapple,1095,135
Magpie,1066,200
Dokmomo,1053,120
Venison,1034,155
Unity,1022,138
Thegroose,1018,202
Blackgun,1004,218
Bigbird,999,220
Superanimevapegod,960,245
Nexusflip,951,256
Soupostrich,936,152
Chewwie,934,265
Ghillieguide,932,289
Emgat,922,266
Darkaozorax,920,226
Sykke,919,186
Seen,910,216
Slinky,894,211
Babe,890,248
Greenapple,880,228
Meleekunis,874,230
Me$|platplat,852,229
Me$|$mflow,817,159
Jackwallace,796,318
Rain,794,143
Dishwash,791,284
Escalatorboy,778,298
Aids,759,135
Ashley,746,219
Auntjemina,729,288
Tmah,715,236
Spicymeme,699,263
Derpinator,694,173
Tino,692,368
Swell,687,225
Yzus,679,271
Backsalt,678,360
Jira,671,317
Twdock,670,272
Roen,657,242
Kia,654,373
Yale,611,146
Kalco,611,258
Nito,610,324
Jts,601,244
Stormz,600,320
Jlips,580,315
Daemomlock,573,271
Darkmatter,570,334
Deisman,569,160
Tv,564,247
Dkang,561,347
Earl,556,195
Rocky,553,308
Scotty2hotty,538,324
Tubbs,526,327
Nexttopmodel,504,345
Bighp,499,282
Zay,448,356
Nitrous,443,387
Nickzack,380,323
Ratemyname,135,335
