Name,Score,Deviation
Sylarius,1812,269
Anjo,1786,113
Smear,1730,84
Minifedora,1726,64
Neri,1680,74
Ndiaz,1675,77
Fedoralord552,1648,136
Bladewise,1615,254
Seaneri,1593,202
Yardsale,1590,126
Bluezone,1573,221
Dylanlan,1542,150
Jams,1523,269
Alphicans,1472,211
Figa,1407,75
Sdk,1387,88
Adamantium,1382,101
Arca,1380,110
Compushwa,1362,100
Lift,1352,62
Kronos,1345,69
Sad,1335,118
Limeee,1289,200
Pelican,1269,174
Dew,1247,166
Commandaguy,1244,172
Gouda,1211,188
Crogunk,1204,293
Bigboy,1202,82
Giganticfedora,1201,198
Tulip,1200,119
Star,1200,305
Jackied,1197,113
Bbro,1179,228
Salamimommy,1178,233
Vaynemain,1135,127
Tags,1127,251
Yawn,1113,203
Lights,1099,287
Victra,1096,215
Nugs,1090,238
Mickey,1047,145
Chair,1038,214
Cinder,1028,152
Kimil,1025,134
Alpha,1010,254
Hyper,976,230
Medic,966,245
Jedcruz,962,230
Dr.love,961,149
Dunkmaster,955,200
Dragonbooty,953,239
Squirmple,938,158
Lpm,937,165
Adrian,930,177
Okada,923,248
Shift,916,114
Peaches,907,284
Approvedboat,907,261
Nullex,900,111
Chaz,891,272
Hettman,878,93
Kull,878,235
Crimsonbeast,846,234
Npo,838,162
Alizon,829,315
Gumby,826,344
Kuraudo,820,372
Alerf,819,297
Finestsilver,808,180
Zedd,801,239
Kcurb,788,187
Salsa,780,231
Hwarplz,772,194
Zozzle,769,212
Itssonic,765,302
Neki,765,343
Gocutiego,765,401
Dumpmaster,758,254
Aedrenaline,758,355
Asianjustinwong,730,364
Superloli,712,135
Justjohn,703,224
Gundamrobot,692,216
Reich,680,262
Slurmzmackenzie,668,307
Beanfox,663,206
Knoff,655,413
Ksc,649,388
Amac,638,316
Silver,609,277
Noxris,588,336
Kasey,587,352
Saber,579,262
Mahman,566,424
Minnie,560,403
Blueandyellowshirt,557,367
Omergosh,553,216
Eevee,548,299
Rollboy,526,314
Merkzr,519,387
Rin$god,518,355
Science,518,233
Sauce,508,288
K-dj,500,372
Kieutea,484,438
Djkoolkids,458,408
Unclegubsy,423,399
Midnight,400,396
Torpiid,400,337
Bitepunch,378,439
Taxisdue,375,412
Umr,366,274
Supershota,343,379
Moon,342,578
Jetfuel,333,459
Chicken,209,296
Nessisless,197,371
Boof,186,333
Dork,157,306
G$,56,301
